Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Main St Greek,4.0,$$,Greek,Markham,"60 Main Street N, Markham, ON L3P 1X5, Canada",162,43.8759432609327,-79.2604827692484
Pho Time Authentic Vietnamese Eatery,4.0,$$,Vietnamese,Markham,"9255 Woodbine Avenune, Unit 7A, Markham, ON L6C 1Y9, Canada",76,43.870027612293875,-79.36093480202202
Toyosu Markham,4.0,$$,Sushi Bars,Markham,"8339 Kennedy Rd, 2660, Markham, ON L3R 1J5, Canada",121,43.85727,-79.30337
Tapagria Spanish Tapas,3.5,$$,"Spanish, Tapas Bars, Seafood",Markham,"230 Commerce Valley Drive E, Unit 2, Markham, ON L3T 7Y3, Canada",292,43.84368,-79.37783
Old Country Inn Restaurant,3.5,$$,Austrian,Unionville,"198 Main Street, Unionville, ON L3R 2G9, Canada",94,43.86787,-79.31272
MABU Generation,3.5,$$,Taiwanese,Markham,"3235 Highway 7, Unit 23-26, Markham, ON L3R 3P3, Canada",433,43.84872,-79.347935
Cho Sun Ok,4.0,$$,Korean,Markham,"7353 Yonge Street, Markham, ON L3T 2B3, Canada",394,43.8067611,-79.4219167
Big Bone BBQ & Wicked Wings,4.0,$$,"Barbeque, Chicken Wings",Markham,"180 Bullock Drive, Markham, ON L3P 7N3, Canada",245,43.8748269897109,-79.280346147716
AKA-ONI Ramen&izakaya -Scarborough,4.0,$$,"Japanese, Sushi Bars, Asian Fusion",Toronto,"633 Silver Star Blvd, Unit 108, Toronto, ON M1V 5N1, Canada",328,43.8219855640577,-79.298919766399
Pig & Chick,4.5,$$,Korean,Markham,"190 Main Street, Unit 2, Markham, ON L3R 2G9, Canada",15,43.867704749425755,-79.31248640386501
Skyview Fusion Cuisine,3.5,$$,"Dim Sum, Venues & Event Spaces, Caterers",Markham,"8261 Woodbine Avenue, Markham, ON L3R 8Z5, Canada",300,43.844189,-79.3560497
Old Firehall Confectionery,4.0,$$,"Chocolatiers & Shops, Bakeries",Unionville,"170 Main Street, Unionville, ON L3R 2G9, Canada",195,43.8676990744595,-79.3123264312744
