Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Jasper Fish & Chips,4.0,$$,Seafood,Pickering,"1794 Liverpool Road, Pickering, ON L1V 4G7, Canada",21,43.83436171617472,-79.09076069968495
Starbucks,3.5,$,Coffee & Tea,Pickering,"1300 Kingston Road, Pickering, ON L1V 3M9, Canada",24,43.836756,-79.089993
Philthy Philly's,3.5,$$,"Sandwiches, Cheesesteaks",Pickering,"726 Kingston Road, Suite 3, Pickering, ON L1V 1A8, Canada",45,43.8200348766721,-79.1146848723292
Perkins Restaurant & Bakery,3.0,$$,"Bakeries, American (Traditional), Breakfast & Brunch",Pickering,"1097 Kingston Rd, Pickering, ON L1V 1B5, Canada",26,43.82896,-79.09769
Lone Star Texas Grill,3.0,$$,"Tex-Mex, Burgers, Steakhouses",Pickering,"705 Kingston Road, Pickering, ON L1V 6K3, Canada",47,43.81951,-79.11377
The Mount Everest,4.0,$$,Indian,Ajax,"611 Kingston Road, Ajax, ON L1S 6L9, Canada",57,43.8543716,-79.0559305
South St Burger,3.0,$$,Burgers,Pickering,"1105 Kingston Road, Brookdale Centre, Pickering, ON L1V 1B5, Canada",20,43.82909330917805,-79.09457128837451
Trebilcock Coffee Roasters,5.0,$$,Coffee Roasteries,Pickering,"1035 Toy Avenue, Unit 19, Pickering, ON L1W 3N9, Canada",10,43.8356817,-79.0654737
Roti n' Ting,4.0,$,Caribbean,Pickering,"1298 Kingston Road, Pickering, ON L1V 1B7, Canada",29,43.8373548301988,-79.0904878182241
St Louis Bar And Grill,3.5,$$,"Sports Bars, Chicken Wings",Pickering,"3-1635 Bayly Street, Unit 2, Pickering, ON L1W 0B1, Canada",20,43.83144147,-79.07088526
The Portly Piper,4.0,$$,Pubs,Ajax,"235 Bayly St W, Ajax, ON L1S 3K3, Canada",85,43.84137,-79.02674
Magwyers Pub,4.0,$$,"Pubs, American (Traditional)",Ajax,"105 Bayly Street W, Ajax, ON L1S 7K7, Canada",31,43.8431383,-79.0215673
Milos Greek Restaurant,2.5,$$,Greek,Pickering,"1450 Kingston Road, Pickering, ON L1V 1C1, Canada",44,43.8418151556785,-79.0840136
